assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_004063735.1	PRJNA224116	SAMN10697283	na	reference genome	266	266	Paracoccus denitrificans	strain=ATCC 19367	na	latest	Complete Genome	Major	Full	2019-01-20	ASM406373v1	Guangdong Ocean University	GCA_004063735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/063/735/GCF_004063735.1_ASM406373v1	na	assembly from type material	na        	haploid	bacteria	5242327	5242327	67.0	3	3	3	NCBI RefSeq	GCF_004063735.1-RS_2024_04_03	2024-04-03	5232	5063	65	na
GCF_000771745.2	PRJNA224116	SAMN02898028	JPSL00000000.2	reference genome	276	276	Thermus filiformis	strain=ATCC 43280	na	latest	Contig	Major	Full	2015-02-24	THFILIv2	Centro Nacional de Pesquisa em Energia e Materiais	GCA_000771745.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/745/GCF_000771745.2_THFILIv2	na	assembly from type material	na        	haploid	bacteria	2386081	2386081	69.0	0	40	40	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-03	2451	2350	56	25977443
GCF_005871085.1	PRJNA224116	SAMN11493719	VAUP00000000.1	reference genome	280	280	Xanthobacter autotrophicus	strain=DSM 432	na	latest	Scaffold	Major	Full	2019-05-28	ASM587108v1	State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan	GCA_005871085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/871/085/GCF_005871085.1_ASM587108v1	na	assembly from type material	na        	haploid	bacteria	5013287	5013197	67.5	0	42	42	NCBI RefSeq	GCF_005871085.1-RS_2024_10_17	2024-10-17	4550	4430	54	na
GCF_027925205.1	PRJNA224116	SAMD00564990	BSDO00000000.1	reference genome	281	281	Xanthobacter flavus	strain=301	na	latest	Scaffold	Major	Full	2022-12-28	ASM2792520v1	AIST	GCA_027925205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/925/205/GCF_027925205.1_ASM2792520v1	na	assembly from type material	na        	haploid	bacteria	5768244	5768147	68.0	0	39	39	NCBI RefSeq	GCF_027925205.1-RS_2024_10_17	2024-10-17	5444	5315	56	na
GCF_016599875.1	PRJNA224116	SAMN16789038	na	reference genome	285	285	Comamonas testosteroni	strain=G1	na	latest	Chromosome	Major	Full	2021-01-11	ASM1659987v1	Jilin University	GCA_016599875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1	na	na	na        	haploid	bacteria	5497097	5496997	61.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-06	5050	4843	134	na
GCF_007988745.1	PRJNA224116	SAMD00166024	BJUT00000000.1	reference genome	288	288	Pseudoalteromonas atlantica	strain=NBRC 103033	na	latest	Contig	Major	Full	2019-08-01	ASM798874v1	National Institute of Technology and Evaluation	GCA_007988745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/988/745/GCF_007988745.1_ASM798874v1	na	assembly from type material	na        	haploid	bacteria	4468419	4468419	41.0	0	135	135	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-09	4013	3908	42	na
GCF_029030725.1	PRJNA224116	SAMN31712193	na	reference genome	290	290	[Pseudomonas] carboxydohydrogena	strain=DSM 1083	na	latest	Complete Genome	Major	Full	2023-03-08	ASM2903072v1	Bielefeld University	GCA_029030725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/030/725/GCF_029030725.1_ASM2903072v1	na	assembly from type material	na        	haploid	bacteria	3271440	3271440	62.5	1	1	1	NCBI RefSeq	GCF_029030725.1-RS_2024_03_28	2024-03-28	3161	3091	56	na
GCF_009586235.1	PRJNA224116	SAMN12612766	na	reference genome	292	292	Burkholderia cepacia	strain=BC16	na	latest	Complete Genome	Major	Full	2019-10-29	ASM958623v1	School of Pharmacy and Life Sciences	GCA_009586235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/586/235/GCF_009586235.1_ASM958623v1	na	na	na        	haploid	bacteria	8366868	8366868	67.0	3	3	3	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-03	7637	7426	92	na
GCF_900445995.1	PRJNA224116	SAMEA4040024	UIGE00000000.1	reference genome	293	293	Brevundimonas diminuta	strain=NCTC8545	na	latest	Contig	Major	Full	2018-08-08	48290_B02	SC	GCA_900445995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/995/GCF_900445995.1_48290_B02	na	assembly from type material	na        	haploid	bacteria	3438815	3438815	67.5	0	2	2	NCBI RefSeq	GCF_900445995.1-RS_2024_04_27	2024-04-27	3438	3358	61	na
GCF_900215245.1	PRJNA224116	SAMN04488487	na	reference genome	294	294	Pseudomonas fluorescens	strain=ATCC 13525	na	latest	Chromosome	Major	Full	2017-09-06	IMG-taxon 2617270901 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900215245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/215/245/GCF_900215245.1_IMG-taxon_2617270901_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	6511547	6511447	60.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	5987	5823	92	na
GCF_015476275.1	PRJNA224116	SAMN16674530	na	reference genome	296	296	Pseudomonas fragi	strain=NL20W	na	latest	Complete Genome	Major	Full	2020-11-15	ASM1547627v1	Nanjing Forestry University	GCA_015476275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/275/GCF_015476275.1_ASM1547627v1	na	na	na        	haploid	bacteria	5077209	5077209	59.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-11	4647	4487	101	na
GCF_003574215.1	PRJNA224116	SAMD00115820	na	reference genome	297	297	Hydrogenophilus thermoluteolus	strain=TH-1	na	latest	Complete Genome	Major	Full	2018-06-21	ASM357421v1	Department of Biotechnology, The University of Tokyo	GCA_003574215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/215/GCF_003574215.1_ASM357421v1	na	assembly from type material	na        	haploid	bacteria	2288780	2288780	61.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-13	2231	2148	62	na
GCF_034011435.1	PRJNA224116	SAMN34316553	na	reference genome	298	298	Pseudomonas marginalis	strain=PS92	na	latest	Complete Genome	Major	Full	2023-12-01	ASM3401143v1	Technical university of Denmark	GCA_034011435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/011/435/GCF_034011435.1_ASM3401143v1	na	na	na        	haploid	bacteria	6799674	6799674	60.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-02	6223	6059	87	na
GCF_004342485.1	PRJNA224116	SAMN10866328	SMBU00000000.1	reference genome	304	304	Roseateles saccharophilus	strain=DSM 654	na	latest	Scaffold	Major	Full	2019-03-11	ASM434248v1	DOE Joint Genome Institute	GCA_004342485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/342/485/GCF_004342485.1_ASM434248v1	na	assembly from type material	na        	haploid	bacteria	5771016	5770922	69.0	0	108	108	NCBI RefSeq	GCF_004342485.1-RS_2024_04_17	2024-04-17	5377	5240	62	na
GCF_001587155.1	PRJNA224116	SAMN04123299	na	reference genome	305	305	Ralstonia solanacearum	strain=IBSBF1503	na	latest	Complete Genome	Major	Full	2016-03-11	ASM158715v1	CIRAD	GCA_001587155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/155/GCF_001587155.1_ASM158715v1	na	na	na        	haploid	bacteria	5530249	5530249	66.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-28	4896	4709	67	26788428
GCF_019704535.1	PRJNA224116	SAMD00327673	na	reference genome	316	316	Stutzerimonas stutzeri	strain=F2a	na	latest	Complete Genome	Major	Full	2021-06-16	ASM1970453v1	Laboratory of Applied Molecular Microbiology, Ritsumeikan Global Innovation Research Organization, Ritsumeikan University	GCA_019704535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/704/535/GCF_019704535.1_ASM1970453v1	na	na	na        	haploid	bacteria	4545686	4545686	64.5	1	1	1	NCBI RefSeq	GCF_019704535.1-RS_2024_03_13	2024-03-13	4287	4194	76	na
GCF_018394375.1	PRJNA224116	SAMN19068034	na	reference genome	317	317	Pseudomonas syringae	strain=Susan2139	na	latest	Complete Genome	Major	Full	2021-05-18	ASM1839437v1	USDA	GCA_018394375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/394/375/GCF_018394375.1_ASM1839437v1	na	na	na        	haploid	bacteria	5868373	5868373	59.0	2	2	2	NCBI RefSeq	GCF_018394375.1-RS_2024_05_25	2024-05-25	5223	5056	83	na
GCF_902374465.1	PRJNA224116	SAMEA5850887	CABKQE000000000.1	reference genome	329	329	Ralstonia pickettii	na	MGYG-HGUT-01384	latest	Scaffold	Major	Full	2019-08-22	MGYG-HGUT-01384	EMG	GCA_902374465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/374/465/GCF_902374465.1_MGYG-HGUT-01384	na	na	na        	haploid	bacteria	5254771	5243971	63.5	0	17	17	NCBI RefSeq	GCF_902374465.1-RS_2024_04_27	2024-04-27	4967	4809	77	na
GCF_036689615.1	PRJNA224116	SAMN39889236	na	reference genome	333	587753	Pseudomonas chlororaphis subsp. chlororaphis	strain=ATCC 9446	na	latest	Complete Genome	Major	Full	2024-04-05	ASM3668961v1	Biologia sintetica, CCG, UNAM	GCA_036689615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/689/615/GCF_036689615.1_ASM3668961v1	na	assembly from type material	na        	haploid	bacteria	6808083	6808083	63.0	1	1	1	NCBI RefSeq	GCF_036689615.1-RS_2024_04_05	2024-04-05	6206	6059	87	na
GCF_006539865.1	PRJNA224116	SAMD00097557	BJNV00000000.1	reference genome	350	350	Zoogloea ramigera	strain=NBRC 15342	na	latest	Contig	Major	Full	2019-06-12	ASM653986v1	National Institute of Technology and Evaluation Biological Resource Center	GCA_006539865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/539/865/GCF_006539865.1_ASM653986v1	na	assembly from type material	na        	haploid	bacteria	4605859	4605859	67.0	0	207	207	NCBI RefSeq	GCF_006539865.1-RS_2024_08_26	2024-08-26	4132	4034	64	na
GCF_002220155.1	PRJNA224116	SAMN03775251	na	reference genome	353	353	Azotobacter chroococcum	strain=B3	na	latest	Complete Genome	Major	Full	2017-07-17	ASM222015v1	Princeton University	GCA_002220155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1	na	na	na        	haploid	bacteria	5023055	5023055	66.0	4	4	4	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-17	4762	4513	86	na
GCF_013318015.2	PRJNA224116	SAMN14165538	na	reference genome	358	358	Agrobacterium tumefaciens	strain=G3/79	na	latest	Complete Genome	Major	Full	2023-02-02	ASM1331801v2	Oregon State University	GCA_013318015.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/318/015/GCF_013318015.2_ASM1331801v2	na	na	na        	haploid	bacteria	6002464	6002464	58.5	6	6	6	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-05	5628	5469	75	32499412
GCF_016864595.1	PRJNA224116	SAMN12779969	na	reference genome	359	359	Rhizobium rhizogenes	strain=LBA9402	na	latest	Complete Genome	Major	Full	2021-02-11	ASM1686459v1	Institute of Biology Leiden	GCA_016864595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/864/595/GCF_016864595.1_ASM1686459v1	na	na	na        	haploid	bacteria	6215524	6215524	60.0	3	3	3	NCBI RefSeq	GCF_016864595.1-RS_2024_09_13	2024-09-13	5906	5763	66	33970547
GCF_001541345.2	PRJNA224116	SAMN04223557	LMVL00000000.2	reference genome	373	373	Agrobacterium vitis	strain=NCPPB 3554	na	latest	Scaffold	Major	Full	2018-07-23	ASM154134v2	Monash University Malaysia	GCA_001541345.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/541/345/GCF_001541345.2_ASM154134v2	na	assembly from type material	na        	haploid	bacteria	5754491	5754491	57.5	1	22	22	NCBI RefSeq	GCF_001541345.2-RS_2024_03_19	2024-03-19	5177	5019	53	na
GCF_013752735.1	PRJNA224116	SAMN15394813	na	reference genome	375	375	Bradyrhizobium japonicum	strain=5038	na	latest	Complete Genome	Major	Full	2020-07-27	ASM1375273v1	Chinese Academy of Agricultural Sciences	GCA_013752735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/752/735/GCF_013752735.1_ASM1375273v1	na	na	na        	haploid	bacteria	9226248	9226248	63.5	1	1	1	NCBI RefSeq	GCF_013752735.1-RS_2024_05_26	2024-05-26	8740	8466	65	na
GCF_003148495.1	PRJNA224116	SAMN08775555	QGGH00000000.1	reference genome	381	381	Mesorhizobium loti	strain=DSM 2626	na	latest	Scaffold	Major	Full	2018-05-22	ASM314849v1	DOE Joint Genome Institute	GCA_003148495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/495/GCF_003148495.1_ASM314849v1	na	assembly from type material	na        	haploid	bacteria	7451806	7451510	62.5	0	52	52	NCBI RefSeq	GCF_003148495.1-RS_2024_05_04	2024-05-04	7385	7096	64	na
GCF_037023865.1	PRJNA224116	SAMN40039399	na	reference genome	382	382	Sinorhizobium meliloti	strain=MABNR56	na	latest	Complete Genome	Major	Full	2024-04-05	ASM3702386v1	Department of Microbiology and Genetics, Universidad de Salamanca	GCA_037023865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/023/865/GCF_037023865.1_ASM3702386v1	na	na	na        	haploid	bacteria	6926935	6926935	62.0	3	3	3	NCBI RefSeq	GCF_037023865.1-RS_2024_04_05	2024-04-05	6516	6224	67	na
GCF_004306555.1	PRJNA224116	SAMN10617985	SILH00000000.1	reference genome	384	384	Rhizobium leguminosarum	strain=SM52	na	latest	Scaffold	Major	Full	2019-02-26	ASM430655v1	Aarhus University	GCA_004306555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/306/555/GCF_004306555.1_ASM430655v1	na	na	na        	haploid	bacteria	7598116	7597516	60.5	5	9	9	NCBI RefSeq	GCF_004306555.1-RS_2024_05_01	2024-05-01	7341	7061	64	na
GCF_001664385.1	PRJNA224116	SAMN03998634	na	reference genome	396	396	Rhizobium phaseoli	strain=R650	na	latest	Complete Genome	Major	Full	2016-06-17	ASM166438v1	Centro de Ciencias Genomicas UNAM	GCA_001664385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1	na	na	na        	haploid	bacteria	6726041	6726041	61.5	5	5	5	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-04	6446	6192	64	na
GCF_022533465.1	PRJNA224116	SAMN26000695	na	reference genome	410	410	Methylobacterium organophilum	strain=WPA_B	na	latest	Complete Genome	Major	Full	2022-03-09	ASM2253346v1	University of Alabama in Huntsville	GCA_022533465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/533/465/GCF_022533465.1_ASM2253346v1	na	na	na        	haploid	bacteria	5319780	5319780	70.0	3	3	3	NCBI RefSeq	GCF_022533465.1-RS_2024_03_28	2024-03-28	5044	4863	79	na
GCF_001644045.1	PRJNA224116	SAMN04555161	LUUF00000000.1	reference genome	421	421	Methylomonas methanica	strain=NCIMB 11130	na	latest	Contig	Major	Full	2016-05-16	ASM164404v1	Ghent University	GCA_001644045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/644/045/GCF_001644045.1_ASM164404v1	na	assembly from type material	na        	haploid	bacteria	5023270	5023270	51.5	0	115	115	NCBI RefSeq	GCF_001644045.1-RS_2024_06_22	2024-06-22	4656	4548	47	na
GCF_003113265.1	PRJNA224116	SAMN08554708	PUIV00000000.1	reference genome	428	428	Methylosinus sporium	strain=DSM 17706	na	latest	Contig	Major	Full	2018-05-10	ASM311326v1	Radboud University	GCA_003113265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/113/265/GCF_003113265.1_ASM311326v1	na	assembly from type material	na        	haploid	bacteria	3785845	3785845	65.0	0	55	55	NCBI RefSeq	GCF_003113265.1-RS_2024_04_25	2024-04-25	3589	3516	45	29725720
GCF_014843995.1	PRJNA224116	SAMN16237465	na	reference genome	436	436	Novacetimonas hansenii	strain=C110	na	latest	Complete Genome	Major	Full	2020-10-05	ASM1484399v1	Institute of Bioengineering, Research Center of Biotechnology of RAS	GCA_014843995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/995/GCF_014843995.1_ASM1484399v1	na	na	na        	haploid	bacteria	3549186	3549186	59.5	3	3	3	NCBI RefSeq	GCF_014843995.1-RS_2024_03_28	2024-03-28	3146	3010	77	na
GCF_004346035.1	PRJNA224116	SAMN10363313	SLZN00000000.1	reference genome	437	437	Acidomonas methanolica	strain=DSM 5432	na	latest	Contig	Major	Full	2019-03-11	ASM434603v1	DOE Joint Genome Institute	GCA_004346035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/346/035/GCF_004346035.1_ASM434603v1	na	assembly from type material	na        	haploid	bacteria	3681251	3681251	64.5	0	96	96	NCBI RefSeq	GCF_004346035.1-RS_2024_04_19	2024-04-19	3545	3372	51	na
GCF_009914215.2	PRJNA224116	SAMN11523864	na	reference genome	438	438	Acetobacter pasteurianus	strain=CICC 22518	na	latest	Complete Genome	Major	Full	2023-07-11	ASM991421v2	China University of Petroleum (East China)	GCA_009914215.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/215/GCF_009914215.2_ASM991421v2	na	na	na        	haploid	bacteria	3403928	3403928	52.0	3	3	3	NCBI RefSeq	GCF_009914215.2-RS_2024_09_15	2024-09-15	3160	3037	84	na
GCF_001941585.1	PRJNA224116	SAMN03988484	na	reference genome	446	446	Legionella pneumophila	strain=Philadelphia-1	AE	latest	Complete Genome	Major	Full	2017-01-10	ASM194158v1	Public Health Agency of Canada	GCA_001941585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/585/GCF_001941585.1_ASM194158v1	na	assembly from type material	na        	haploid	bacteria	3409143	3409143	38.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-04	3055	2981	57	na
GCF_900450575.1	PRJNA224116	SAMEA4063024	UGGY00000000.1	reference genome	447	447	Legionella bozemanae	strain=NCTC11368	na	latest	Contig	Major	Full	2018-08-08	48853_H02	SC	GCA_900450575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/450/575/GCF_900450575.1_48853_H02	na	assembly from type material	na        	haploid	bacteria	4232311	4232311	38.0	0	7	7	NCBI RefSeq	GCF_900450575.1-RS_2024_03_28	2024-03-28	3789	3688	61	na
GCF_001467615.1	PRJNA224116	SAMN04274772	LNYA00000000.1	reference genome	448	448	Legionella erythra	strain=SE-32A-C8	na	latest	Scaffold	Major	Full	2015-12-15	ASM146761v1	Tel Aviv University	GCA_001467615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/615/GCF_001467615.1_ASM146761v1	na	assembly from type material	na        	haploid	bacteria	3239140	3237543	46.5	0	36	36	NCBI RefSeq	GCF_001467615.1-RS_2024_03_21	2024-03-21	3018	2935	48	26752266
GCF_000953655.1	PRJNA224116	SAMEA2785664	na	reference genome	449	449	Legionella hackeliae	strain=ATCC 35250	na	latest	Complete Genome	Major	Full	2014-12-09	LHA	INSTITUT PASTEUR	GCA_000953655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA	na	assembly from type material	na        	haploid	bacteria	3570857	3570857	39.0	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	3213	3116	59	na
GCF_000953635.1	PRJNA224116	SAMEA2785665	na	reference genome	451	451	Legionella micdadei	strain=ATCC 33218	na	latest	Complete Genome	Major	Full	2014-10-21	LMI	INSTITUT PASTEUR	GCA_000953635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI	na	assembly from type material	na        	haploid	bacteria	3310028	3310028	40.5	1	1	1	NCBI RefSeq	GCF_000953635.1-RS_2024_06_10	2024-06-10	2949	2875	56	na
GCF_900186965.1	PRJNA224116	SAMEA4412668	na	reference genome	452	452	Legionella spiritensis	strain=NCTC11990	na	latest	Complete Genome	Major	Full	2017-08-15	50592_C01	SC	GCA_900186965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/965/GCF_900186965.1_50592_C01	na	assembly from type material	na        	haploid	bacteria	3348070	3348070	45.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	2980	2894	56	na
GCF_900639755.1	PRJNA224116	SAMEA5198047	CAAAHT000000000.1	reference genome	453	453	Legionella feeleii	strain=WO-44C	na	latest	Scaffold	Major	Full	2019-02-04	Leg_feeleii_WO-44C.v1	INSTITUT PASTEUR	GCA_900639755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/639/755/GCF_900639755.1_Leg_feeleii_WO-44C.v1	na	assembly from type material	na        	haploid	bacteria	3534250	3534122	41.0	0	150	150	NCBI RefSeq	GCF_900639755.1-RS_2024_03_28	2024-03-28	3311	3223	50	na
GCF_007361795.1	PRJNA224116	SAMN12276320	na	reference genome	454	454	Legionella israelensis	strain=L18-01051	na	latest	Complete Genome	Major	Full	2019-07-24	ASM736179v1	Hospices Civils de Lyon	GCA_007361795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/361/795/GCF_007361795.1_ASM736179v1	na	na	na        	haploid	bacteria	3111640	3111640	40.0	2	2	2	NCBI RefSeq	GCF_007361795.1-RS_2024_04_27	2024-04-27	2804	2724	55	na
GCF_900637635.1	PRJNA224116	SAMEA4552886	na	reference genome	456	456	Legionella jordanis	strain=NCTC11533	na	latest	Complete Genome	Major	Full	2018-12-20	52313_A01	SC	GCA_900637635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/635/GCF_900637635.1_52313_A01	na	assembly from type material	na        	haploid	bacteria	3133723	3133723	41.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-13	2870	2788	60	na
GCF_900640015.1	PRJNA224116	SAMEA5198063	CAAAIN000000000.1	reference genome	458	458	Legionella rubrilucens	strain=WA-270A-C2	na	latest	Contig	Major	Full	2019-02-04	Leg_rubrilucens_WA-270A-C2.v1	INSTITUT PASTEUR	GCA_900640015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/640/015/GCF_900640015.1_Leg_rubrilucens_WA-270A-C2.v1	na	assembly from type material	na        	haploid	bacteria	3186910	3186910	47.5	0	31	31	NCBI RefSeq	GCF_900640015.1-RS_2024_04_10	2024-04-10	2997	2924	52	na
